feature,mean_abs_shap
us_aqi_mean_rollmean_7d,13.145750526926964
us_aqi_mean_lag_2d,8.216804908072303
us_aqi_mean_lag_3d,7.787531233367783
us_aqi_mean_lag_1d,6.3233264084314245
us_aqi_mean,5.164566074617317
us_aqi_mean_rollmean_3d,4.639141684909254
pm2_5_mean,2.049660694659694
dust_mean,1.8444900714027495
us_aqi_max,1.8165318111815925
us_aqi_mean_lag_7d,1.685073158433856
carbon_monoxide_mean,1.3274576964686713
aqi_change_rate,0.8279715369880114
surface_pressure_mean,0.7224718097296794
relative_humidity_2m_mean,0.49607893645725026
doy_cos,0.34733009429101763
ozone_mean,0.33991394935869435
day_of_week,0.3301254784237312
day_of_year,0.32068529698501075
us_aqi_min,0.22151186500482803
wind_speed_10m_mean,0.2068040921596884
temperature_2m_max,0.19770413700530903
us_aqi_mean_rollstd_7d,0.17702020650231404
pm10_mean,0.167635609840181
temperature_2m_mean,0.16068320886165202
wind_speed_10m_max,0.1574067431868096
nitrogen_dioxide_mean,0.1477657147298317
precipitation_sum,0.14080996357747563
sulphur_dioxide_mean,0.13297511403903703
doy_sin,0.12811851157189286
us_aqi_mean_rollstd_3d,0.12056866909449016
cloud_cover_mean,0.10532684454177818
apparent_temperature_mean,0.10043765320704498
temperature_2m_min,0.06440971135602719
wind_gusts_10m_max,0.06407454617569462
dew_point_2m_mean,0.055565273414389764
is_weekend,0.009964274330489145
month_cos,0.0
month,0.0
month_sin,0.0
